Zeitraum,Klicks,Impressionen,CTR,Position
2026-04-17 - 2026-04-18,9,13,69.23%,7
2026-04-19 - 2026-04-25,28,100,28%,2.4
2026-04-26 - 2026-05-02,37,80,46.25%,5.3
2026-05-03 - 2026-05-09,53,97,54.64%,4.1
2026-05-10 - 2026-05-16,43,90,47.78%,5.6
2026-05-17 - 2026-05-23,36,142,25.35%,13.4
2026-05-24 - 2026-05-30,29,138,21.01%,10.8
2026-05-31 - 2026-06-06,43,277,15.52%,8.8
2026-06-07 - 2026-06-13,72,616,11.69%,7.7
2026-06-14 - 2026-06-20,40,575,6.96%,9.1
2026-06-21 - 2026-06-27,57,591,9.64%,9.6
2026-06-28 - 2026-07-04,50,721,6.93%,9.6
2026-07-05 - 2026-07-11,58,811,7.15%,9.9
2026-07-12 - 2026-07-16,46,659,6.98%,11.3