Die häufigsten Seiten,Klicks,Impressionen,CTR,Position
https://chessperiment.app/,459,1402,32.74%,4.48
https://chessperiment.app/en/editor,110,3539,3.11%,10.09
https://chessperiment.app/de,20,168,11.9%,4.19
https://chessperiment.app/game,7,636,1.1%,5.77
https://chessperiment.app/en/game,7,272,2.57%,7.54
https://chessperiment.app/marketplace,1,62,1.61%,4.55
https://chessperiment.app/de/legal-notice,1,37,2.7%,6.97
https://chessperiment.app/announcements,1,33,3.03%,2.85
https://chessperiment.app/privacy-policy,0,14,0%,3.07
https://chessperiment.app/en,0,10,0%,1.8
https://chessperiment.app/de/editor,0,6,0%,4.67
https://chessperiment.app/legal-notice,0,5,0%,5.4